ID;Objeto;Decisão;Instância;Data Citação;Data Decisão;Status;Justiça;UF;Tribunal;Num. Litisconsortes
23;Objeto 1;Favorável;1;22/02/2018;;Encerrado;Est;BA;1 VSJE DO CONSUMIDOR DE SALVADOR;0
23;Objeto 1;Favorável;2;22/02/2018;;Encerrado;Est;BA;1 VSJE DO CONSUMIDOR DE SALVADOR;0
23;Objeto 1;Favorável;3;22/02/2018;;Encerrado;Est;BA;1 VSJE DO CONSUMIDOR DE SALVADOR;0
29;Objeto 2;Favorável;1;22/02/2018;;Encerrado;Trb;RN;4 VARA DO TRABALHO DE NATAL;0
29;Objeto 2;Favorável;2;22/02/2018;;Encerrado;Trb;RN;4 VARA DO TRABALHO DE NATAL;0
29;Objeto 2;Favorável;3;22/02/2018;;Encerrado;Trb;RN;4 VARA DO TRABALHO DE NATAL;0
51;Objeto 3;Favorável;1;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 4;Favorável;1;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 5;Favorável;1;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 3;Favorável;2;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 4;Favorável;2;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 5;Favorável;2;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 3;Favorável;3;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 4;Favorável;3;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
51;Objeto 5;Favorável;3;27/02/2018;;Encerrado;Fed;BA;23 VARA FEDERAL DE SALVADOR;0
64;Objeto 6;Favorável;1;27/02/2018;;Encerrado;Est;RJ;27 VARA CÍVEL DE RIO DE JANEIRO;0
64;Objeto 6;Favorável;2;27/02/2018;;Encerrado;Est;RJ;27 VARA CÍVEL DE RIO DE JANEIRO;0
64;Objeto 6;Favorável;3;27/02/2018;;Encerrado;Est;RJ;27 VARA CÍVEL DE RIO DE JANEIRO;0
69;Objeto 6;Favorável;1;01/03/2018;;Encerrado;Est;RJ;11 VARA CÍVEL DE RIO DE JANEIRO;0
69;Objeto 6;Favorável;2;01/03/2018;;Encerrado;Est;RJ;11 VARA CÍVEL DE RIO DE JANEIRO;0
69;Objeto 6;Favorável;3;01/03/2018;;Encerrado;Est;RJ;11 VARA CÍVEL DE RIO DE JANEIRO;0
73;Objeto 6;Favorável;1;01/03/2018;;Encerrado;Est;RJ;22 VARA CÍVEL DE RIO DE JANEIRO;0
